wavelength,D65,X_1964,Y_1964,Z_1964,X_1931,Y_1931,Z_1931,CIE_A,S0,S1,S2
690,69.7213,0.019941,0.007749,0,0.0227,0.00821,0,191.931000,71.9,-12,8.3
695,70.6652,0.013842,0.005375,0,0.01584,0.005723,0,195.118000,73.1,-12.65,8.95
700,71.6091,0.009577,0.003718,0,0.011359,0.004102,0,198.261000,74.3,-13.3,9.6
705,72.979,0.006605,0.002565,0,0.008111,0.002929,0,201.359000,75.35,-13.1,9.05
710,74.349,0.004553,0.001768,0,0.00579,0.002091,0,204.409000,76.4,-12.9,8.5
715,67.9765,0.003145,0.001222,0,0.004109,0.001484,0,207.411000,69.85,-11.75,7.75
720,61.604,0.002175,0.000846,0,0.002899,0.001047,0,210.365000,63.3,-10.6,7
725,65.7448,0.001506,0.000586,0,0.002049,0.00074,0,213.268000,67.5,-11.1,7.3
730,69.8856,0.001045,0.000407,0,0.00144,0.00052,0,216.120000,71.7,-11.6,7.6
735,72.4863,0.000727,0.000284,0,0.001,0.000361,0,218.920000,74.35,-11.9,7.8
740,75.087,0.000508,0.000199,0,0.00069,0.000249,0,221.667000,77,-12.2,8
745,69.3398,0.000356,0.00014,0,0.000476,0.000172,0,224.361000,71.1,-11.2,7.35
750,63.5927,0.000251,0.000098,0,0.000332,0.00012,0,227.000000,65.2,-10.2,6.7
755,55.0054,0.000178,0.00007,0,0.000235,0.000085,0,229.585000,56.45,-9,5.95
760,46.4182,0.000126,0.00005,0,0.000166,0.00006,0,232.115000,47.7,-7.8,5.2
765,56.6118,0.00009,0.000036,0,0.000117,0.000042,0,234.589000,58.15,-9.5,6.3
770,66.8054,0.000065,0.000025,0,0.000083,0.00003,0,237.008000,68.6,-11.2,7.4
775,65.0941,0.000046,0.000018,0,0.000059,0.000021,0,239.370000,66.8,-10.8,7.1
780,63.3828,0.000033,0.000013,0,0.000042,0.000015,0,241.675000,65,-10.4,6.8
785,63.8434,0,0,0,0,0,0,,65.5,-10.5,6.9
790,64.304,0,0,0,0,0,0,,66,-10.6,7
795,61.8779,0,0,0,0,0,0,,63.5,-10.15,6.7
800,59.4519,0,0,0,0,0,0,,61,-9.7,6.4
805,55.7054,0,0,0,0,0,0,,57.15,-9,5.95
810,51.959,0,0,0,0,0,0,,53.3,-8.3,5.5
815,54.6998,0,0,0,0,0,0,,56.1,-8.8,5.8
820,57.4406,0,0,0,0,0,0,,58.9,-9.3,6.1
825,58.8765,0,0,0,0,0,0,,60.4,-9.55,6.3
830,60.3125,0,0,0,0,0,0,,61.9,-9.8,6.5
